Bestand   ;Bouwvergnr. (2);  ;Postcode;;Adres;Huisnr.;Voorvoegsl;;Postcode;Bvnr;Jaar;Zaaknummer;Tabnaam;Omschrijving ;Datum vergunning ;Omschrijving ;Omschrijving bouwvergunning, adres, huisnummer, plaatsnaam;Plaatsnaam;Gemeente;classificatiecode (5.1);Omschrijving classificatiecode ;Bron ;Omschrijving ;Gemeentecode;Bron classificatiecode ;KvK nummer;Omvang in MB;Bestandsformaat;;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;auteursrechtelijk beschermd wegens rechten van de architect;Openbaar;Integer;Enkelvoudig;Aanmaakdatum bestand;Aggregatieniveau;Relatie ID;Checksum;Datum;Algoritme;Classificatie;;1993.01.07;NL-0834-931001;GDB-9248-01;GDB-9248-01
GDB-9258-01;;;4941 AK;Burgemeester Prinssenlaan 12 Raamsdonksveer;;;;;;;;NL-0834-931011;Beschikking;Melding beschikking vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;1993.04.05;vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;1127918fedd74405a6953b7090737909ec2f5821;;SHA-1;Niet vertrouwelijk ;;1993.04.05;NL-0834-931011;GDB-9258-02;GDB-9258-02
GDB-9258-02;;;4941 AK;Burgemeester Prinssenlaan 12 Raamsdonksveer;;;;;;;;NL-0834-931011;Tekening (technisch);Melding tekening vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;1993.04.05;vergroten woning  Burgemeester Prinssenlaan 12 Raamsdonksveer 5-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;d7f98962d8635e53782c7860d8fff24d0bcdbd9f;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931012;GDB-9259-01;GDB-9259-01
GDB-9259-01;;;4944 VV;Dijkgraafstraat 3 Raamsdonk;;;;;;;;NL-0834-931012;Beschikking;Melding beschikking oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;1993.04.20;oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;0ea3da91676d2bcd4221e37a65e76176e5184a3b;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931012;GDB-9259-02;GDB-9259-02
GDB-9259-02;;;4944 VV;Dijkgraafstraat 3 Raamsdonk;;;;;;;;NL-0834-931012;Tekening (technisch);Melding tekening oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;1993.04.20;oprichten schuur Dijkgraafstraat 3 Raamsdonk 20-4-1993;;Raamsdonk;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;baf243428b4117ecbc39361b70d9a271fa9bf7b8;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931013;GDB-9260-01;GDB-9260-01
GDB-9260-01;;;4942 AP;Smalweer 3 Raamsdonksveer;;;;;;;;NL-0834-931013;Beschikking;Melding beschikking oprichten bijkeuken Smalweer 3 Raamsdonksveer 20-4-1993;1993.04.20;oprichten bijkeuken Smalweer 3 Raamsdonksveer 20-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;79b5cd9345860b684447ddf27cf25d54d2f3e3f8;;SHA-1;Niet vertrouwelijk ;;1993.04.20;NL-0834-931013;GDB-9260-02;GDB-9260-02
GDB-9260-02;;;4942 AP;Smalweer 3 Raamsdonksveer;;;;;;;;NL-0834-931013;Tekening (technisch);Melding tekening oprichten bijkeuken Smalweer 3 Raamsdonksveer 20-4-1993;1993.04.20;oprichten bijkeuken Smalweer 3 Raamsdonksveer 20-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;3e19df63733969a15c1b3fe8db99a2073d1589b6;;SHA-1;Niet vertrouwelijk ;;1993.04.22;NL-0834-931014;GDB-9261-01;GDB-9261-01
GDB-9261-01;;;4941 LL;Baksweer 238 Raamsdonksveer;;;;;;;;NL-0834-931014;Beschikking;Melding beschikking vergoten garage Baksweer 238 Raamsdonksveer 22-4-1993;1993.04.22;vergoten garage Baksweer 238 Raamsdonksveer 22-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;1b26f6c1b5df06ca5f9397911869ce7c226878c1;;SHA-1;Niet vertrouwelijk ;;1993.04.22;NL-0834-931014;GDB-9261-02;GDB-9261-02
GDB-9261-02;;;4941 LL;Baksweer 238 Raamsdonksveer;;;;;;;;NL-0834-931014;tekening (technisch);Melding tekening vergoten garage Baksweer 238 Raamsdonksveer 22-4-1993;1993.04.22;vergoten garage Baksweer 238 Raamsdonksveer 22-4-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;d5d016632c64eee88c4017a6045be7b559ea252e;;SHA-1;Niet vertrouwelijk ;;1993.05.04;NL-0834-931015;GDB-9262-01;GDB-9262-01
GDB-9262-01;;;4942 DL;Anton van Duinkerkenstraat 23 raamsdonksveer;;;;;;;;NL-0834-931015;Beschikking;Melding beschikking plaatsen dakkapel Anton van Duinkerkenstraat 23 Raamsdonksveer 04-5-1993;1993.05.04;plaatsen dakkapel Anton van Duinkerkenstraat 23 Raamsdonksveer 04-5-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;1b597ada9fc6e82012e57e76f80609af2d9afade;;SHA-1;Niet vertrouwelijk ;;1993.05.04;NL-0834-931015;GDB-9262-02;GDB-9262-02
GDB-9262-02;;;4942 DL;Anton van Duinkerkenstraat 23 Raamsdonksveer;;;;;;;;NL-0834-931015;Tekening (technisch);Melding tekening plaatsen dakkapel Anton van Duinkerkenstraat 23 Raamsdonksveer 04-5-1993;1993.05.04;plaatsen dakkapel Anton van Duinkerkenstraat 23 Raamsdonksveer 04-5-1993;;Raamsdonksveer ;Gemeente Raamsdonk;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;;;2010;K50771752;;pdf;dut;Datum vergunning;Bouw-en woningtoezicht;Hierarchisch;Gemeente;Organisatie;Verlenen van bouwvergunningen;Vrij te gebruiken;Openbaar;Integer;Enkelvoudig;;Record;Archief ;448d8afa9932e0087133627dfd423f65a0bf30e0;;SHA-1;Niet vertrouwelijk ;;1993.05.11;NL-0834-931016;GDB-9263-01;GDB-9263-01
