DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001213.pdf;16934598;fmt/18;sha256
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;Vrij te gebruiken;05-10-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvullling;B000001214.pdf;3083545;fmt/18;sha256
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001281.pdf;474426;fmt/18;sha256
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001282.pdf;10565818;fmt/18;sha256
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001283.pdf;11759281;fmt/18;sha256
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001284.pdf;30307600;fmt/18;sha256
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;Vrij te gebruiken;03-05-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000001285.pdf;2697537;fmt/18;sha256
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;Vrij te gebruiken;19-07-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001341.pdf;333534;fmt/18;sha256
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;Vrij te gebruiken;19-07-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001342.pdf;606708;fmt/18;sha256
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;Vrij te gebruiken;19-07-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000001343.pdf;2465706;fmt/18;sha256
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;Vrij te gebruiken;07-06-1934;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001566.pdf;745270;fmt/18;sha256
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;Vrij te gebruiken;07-06-1934;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001567.pdf;9171551;fmt/18;sha256
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;Vrij te gebruiken;07-06-1934;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000001568.pdf;2958395;fmt/18;sha256
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002187.pdf;779090;fmt/18;sha256
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002188.pdf;25430035;fmt/18;sha256
