DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme;Bestand_Formaat_FysiekeIntegriteit_Waarde;Bestand_Formaat_FysiekeIntegriteit_DatumEnTijd;Bestand_Formaat_DatumAanmaak
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;Vrij te gebruiken;19-07-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001341.pdf;333534;fmt/18;sha256;32b6b5a8bd62d646e42f0a6a66937ea5fd392469d8086cb261f15af6e58d7de8;30-7-2015 15:02;20-08-2012
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;Vrij te gebruiken;19-07-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001342.pdf;606708;fmt/18;sha256;d13633e000a7ec5f6d1335c5a01c335bf97c5cd9d073a959ec046759a9d871ce;30-7-2015 15:01;20-08-2012
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;Vrij te gebruiken;19-07-1933;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000001343.pdf;2465706;fmt/18;sha256;fbbdc9ce5b2c1f059757ba270392fb7341981f1afdf9c9400b92ad84bd3d28c0;30-7-2015 15:01;20-08-2012
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;Vrij te gebruiken;07-06-1934;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000001566.pdf;745270;fmt/18;sha256;7c30e5d39dc7178cfbb2acd0838dde573f15afedae5da6490604cfd818e710eb;31-7-2015 16:34;20-08-2012
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;Vrij te gebruiken;07-06-1934;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000001567.pdf;9171551;fmt/18;sha256;bfbdf1db81835c16bf963936a8da2fc3ad1792868e5b78e9aa0ba397a48d079d;31-7-2015 16:34;20-08-2012
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;Vrij te gebruiken;07-06-1934;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000001568.pdf;2958395;fmt/18;sha256;73fee1f73e31ffeefa60e5b29498ae2f4242755b5eafd2a6a5c6b510eb36c514;31-7-2015 16:35;20-08-2012
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002187.pdf;779090;fmt/18;sha256;50f2406b71fa2638a4ed9aa6729f8803b6ff9eee524ad6899626882a4d417104;31-7-2015 18:23;23-08-2012
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002188.pdf;25430035;fmt/18;sha256;6125088112846bcc446e7b2b0329e004a646ac1d673478c578f141676a02fdc5;31-7-2015 18:23;23-08-2012
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002189.pdf;7970585;fmt/18;sha256;0dc80a9c039bc4d9e5e9f215a9e94bf9e202e49fe2d35d7dd9e993d31a3dc0da;31-7-2015 18:23;23-08-2012
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002190.pdf;2484427;fmt/18;sha256;4e3e5ec0adaeda50fcc6c279571dd35163ff138204969bd99fc3deb80fdbf104;31-7-2015 18:24;23-08-2012
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;Vrij te gebruiken;30-08-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002227.pdf;492339;fmt/18;sha256;98ed7738985db8f1aea3e8766164cf505f0d090f1262006c17ff17d930118f6f;31-7-2015 18:31;20-08-2012
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;Vrij te gebruiken;30-08-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002228.pdf;12288062;fmt/18;sha256;d54250ee6755e2fb0d7613ad371931386b9726b7757325f5fca1f4480ad29970;31-7-2015 18:31;20-08-2012
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;Vrij te gebruiken;30-08-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002229.pdf;2258838;fmt/18;sha256;d75142f2282b386c46a530d7ae33f7e64ad46bf63f26848259d37ca7b86a1539;31-7-2015 18:31;20-08-2012
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002451.pdf;500952;fmt/18;sha256;e91b793f64a1ce9881eb6071c33d4e3a6bf779b45b8d6ca8756dec2d183f7d0b;31-7-2015 19:19;20-08-2012
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002452.pdf;9893923;fmt/18;sha256;e8c40c4294dcf0c4731b3eba74322a228f91bbe7fdbb364a2d6a2acc466b0b50;31-7-2015 19:19;20-08-2012
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002453.pdf;9853038;fmt/18;sha256;e95b0fcf8e7cc50063ac878474cb89d477f30743e343de57585185c4749fcb79;31-7-2015 19:20;20-08-2012
